Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
link_1,0.0076727,0.0054019,-0.029767,0,0,0,1.3375,0.0025718,-2.7062E-07,3.1714E-06,0.00083515,1.5387E-06,0.0030326,0,0,0,0,0,0,package://urdf_trex/meshes/link_1.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://urdf_trex/meshes/link_1.STL,,Link1_Assembled-2,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_2,-0.011229,0.00033042,0.052202,0,0,0,2.9992,0.0015389,2.3934E-05,2.49E-05,0.0018893,2.8767E-07,0.0013144,0,0,0,0,0,0,package://urdf_trex/meshes/link_2.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://urdf_trex/meshes/link_2.STL,,Link2_Assembled-1,Origin_joint_12,Axis_joint_1,joint_1,continuous,0,0,0,0,0,0,link_1,0,0,1,,,,,,,,,,,,
link_3,0.13008,-0.023939,0.20948,0,0,0,2.1045,0.0052536,7.2696E-05,-0.0028911,0.0076699,0.000102,0.0028991,0,0,0,0,0,0,package://urdf_trex/meshes/link_3.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://urdf_trex/meshes/link_3.STL,,Link3_Assembled-1,Origin_joint_2,Axis_joint_2,joint_2,continuous,0,0,0.0589,0,0,0,link_2,0.02371,0.99972,0,,,,,,,,,,,,
link_4,0.14285,0.0030142,-0.10585,0,0,0,0.962,0.00064228,2.3991E-05,0.00065305,0.0017112,-1.3429E-05,0.0011651,0,0,0,0,0,0,package://urdf_trex/meshes/link_4.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://urdf_trex/meshes/link_4.STL,,Link4_Assembled-1,Origin_joint_3,Axis_joint_3,joint_3,continuous,0.16899,-0.0040079,0.24784,0,0,0,link_3,0.02371,0.99972,0,,,,,,,,,,,,
link_5,0.078859,0.0015191,0.018505,0,0,0,0.7665,0.00017692,-1.3281E-05,-5.3311E-06,0.00025322,-2.3353E-06,0.00026405,0,0,0,0,0,0,package://urdf_trex/meshes/link_5.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://urdf_trex/meshes/link_5.STL,,Link5_Assembled-1,Origin_joint_4,Axis_joint_4,joint_4,continuous,0.18659,-0.0044253,-0.12566,0,0,0,link_4,0.02371,0.99972,0,,,,,,,,,,,,
